year,period_start,period_end,months_evaluated,expected_full_year_months,year_scope,minimum_overall_coverage,minimum_sector_coverage,minimum_provenance_rate,passing_months,year_passes
2015,2015-10,2015-12,3,12,PARTIAL_YEAR,0.9296875,0.8545454545454545,1.0,3,True
2016,2016-01,2016-12,12,12,FULL_YEAR,0.9206349206349206,0.8448275862068966,1.0,12,True
2017,2017-01,2017-12,12,12,FULL_YEAR,0.920844327176781,0.8305084745762712,1.0,12,True
2018,2018-01,2018-12,12,12,FULL_YEAR,0.9354838709677419,0.8484848484848485,1.0,12,True
2019,2019-01,2019-12,12,12,FULL_YEAR,0.9436997319034852,0.7619047619047619,1.0,8,False
2020,2020-01,2020-12,12,12,FULL_YEAR,0.9413333333333334,0.7272727272727273,1.0,4,False
2021,2021-01,2021-12,12,12,FULL_YEAR,0.955026455026455,0.8636363636363636,1.0,12,True
2022,2022-01,2022-12,12,12,FULL_YEAR,0.9547872340425532,0.9047619047619048,1.0,12,True
2023,2023-01,2023-12,12,12,FULL_YEAR,0.9645776566757494,0.921875,1.0,12,True
2024,2024-01,2024-12,12,12,FULL_YEAR,0.9561643835616438,0.90625,1.0,12,True
2025,2025-01,2025-12,12,12,FULL_YEAR,0.9586776859504132,0.9166666666666666,1.0,12,True
2026,2026-01,2026-03,3,12,PARTIAL_YEAR,0.9530386740331491,0.8846153846153846,1.0,3,True
