symbols,name,sector,cik,status,resolved,provenance_complete,strict_debt_to_equity,strict_formula,financial_period_end,filed,accession,fallback_custom_candidate_count
ABT,Abbott Laboratories,Health Care,0000001800,unresolved_interest_bearing_debt,False,False,,,2025-12-31,2026-02-20,0001628280-26-010185,0
AMD,Advanced Micro Devices,Information Technology,0000002488,unresolved_interest_bearing_debt,False,False,,,2025-12-27,2026-02-04,0000002488-26-000018,0
APD,Air Products,Materials,0000002969,strict_complete_rendered_statement,True,True,1.1375938434784865,short_term_debt+current_long_term+combined_noncurrent_debt_and_finance_lease,2025-12-31,2026-01-30,0000002969-26-000008,0
SWKS,Skyworks Solutions,Information Technology,0000004127,unresolved_interest_bearing_debt,False,False,,,2026-01-02,2026-02-05,0000004127-26-000008,0
HWM,Howmet Aerospace,Industrials,0000004281,unresolved_interest_bearing_debt,False,False,,,2025-12-31,2026-02-12,0000004281-26-000012,0
ADI,Analog Devices,Information Technology,0000006281,unresolved_interest_bearing_debt,False,False,,,2026-01-31,2026-02-18,0000006281-26-000016,0
AMAT,Applied Materials,Information Technology,0000006951,unresolved_interest_bearing_debt,False,False,,,2026-01-25,2026-02-19,0001628280-26-009694,0
ADM,Archer Daniels Midland,Consumer Staples,0000007084,unresolved_interest_bearing_debt,False,False,,,2025-12-31,2026-02-17,0000007084-26-000011,0
ADP,Automatic Data Processing,Industrials,0000008670,unresolved_interest_bearing_debt,False,False,,,2025-12-31,2026-01-29,0000008670-26-000011,0
AVY,Avery Dennison,Materials,0000008818,strict_complete_rendered_statement,True,True,1.6649123589491994,current_debt+combined_noncurrent_debt_and_finance_lease,2025-12-31,2026-02-25,0000008818-26-000015,0
BALL,Ball Corporation,Materials,0000009389,strict_complete_rendered_statement,True,True,1.2934882862940418,current_debt+combined_noncurrent_debt_and_finance_lease,2025-12-31,2026-02-19,0001104659-26-017410,0
