month,month_end,symbols,names,sector,mapped_cik,mapping_method,status,resolved,provenance_complete,ratio,financial_period_end,filed,accession,form
2009-01,2009-01-31,MMM,3M Company,Industrials,,missing_sec_instance_ticker,cik_mapping_unresolved,False,False,,,,,
2009-01,2009-01-31,ABT,Abbott Labs,Health Care,,missing_sec_instance_ticker,cik_mapping_unresolved,False,False,,,,,
2009-01,2009-01-31,ANF,Abercrombie & Fitch Co.,Consumer Discretionary,,missing_sec_instance_ticker,cik_mapping_unresolved,False,False,,,,,
2009-01,2009-01-31,ADBE,Adobe Systems,Information Technology,,missing_sec_instance_ticker,cik_mapping_unresolved,False,False,,,,,
2009-01,2009-01-31,AMD,Advanced Micro Devices,Information Technology,,missing_sec_instance_ticker,cik_mapping_unresolved,False,False,,,,,
2009-01,2009-01-31,AET,Aetna Inc.,Health Care,,missing_sec_instance_ticker,cik_mapping_unresolved,False,False,,,,,
2009-01,2009-01-31,ACS,Affiliated Computer,Information Technology,,missing_sec_instance_ticker,cik_mapping_unresolved,False,False,,,,,
2009-01,2009-01-31,A,Agilent Technologies,Information Technology,,missing_sec_instance_ticker,cik_mapping_unresolved,False,False,,,,,
2009-01,2009-01-31,APD,Air Products & Chemicals,Materials,,missing_sec_instance_ticker,cik_mapping_unresolved,False,False,,,,,
2009-01,2009-01-31,AKAM,Akamai Technologies Inc,Information Technology,,missing_sec_instance_ticker,cik_mapping_unresolved,False,False,,,,,
2009-01,2009-01-31,AKS,AK Steel Holding Corp.,Materials,,missing_sec_instance_ticker,cik_mapping_unresolved,False,False,,,,,
2009-01,2009-01-31,AA,Alcoa Inc,Materials,,missing_sec_instance_ticker,cik_mapping_unresolved,False,False,,,,,
2009-01,2009-01-31,ATI,Allegheny Technologies Inc,Materials,,missing_sec_instance_ticker,cik_mapping_unresolved,False,False,,,,,
2009-01,2009-01-31,AGN,Allergan Inc.,Health Care,,missing_sec_instance_ticker,cik_mapping_unresolved,False,False,,,,,
2009-01,2009-01-31,AW,Allied Waste Industries,Industrials,,missing_sec_instance_ticker,cik_mapping_unresolved,False,False,,,,,
2009-01,2009-01-31,ALTR,Altera Corp.,Information Technology,,missing_sec_instance_ticker,cik_mapping_unresolved,False,False,,,,,
2009-01,2009-01-31,MO,Altria Group Inc.,Consumer Staples,,missing_sec_instance_ticker,cik_mapping_unresolved,False,False,,,,,
2009-01,2009-01-31,AMZN,Amazon Corp.,Consumer Discretionary,,missing_sec_instance_ticker,cik_mapping_unresolved,False,False,,,,,
2009-01,2009-01-31,AMT,American Tower Corp.,Telecommunications Services,,missing_sec_instance_ticker,cik_mapping_unresolved,False,False,,,,,
2009-01,2009-01-31,ABC,AmerisourceBergen Corp.,Health Care,,missing_sec_instance_ticker,cik_mapping_unresolved,False,False,,,,,
2009-01,2009-01-31,AMGN,Amgen,Health Care,,missing_sec_instance_ticker,cik_mapping_unresolved,False,False,,,,,
2009-01,2009-01-31,APC,Anadarko Petroleum,Energy,,missing_sec_instance_ticker,cik_mapping_unresolved,False,False,,,,,
2009-01,2009-01-31,ADI,Analog Devices,Information Technology,,missing_sec_instance_ticker,cik_mapping_unresolved,False,False,,,,,
2009-01,2009-01-31,APA,Apache Corp.,Energy,,missing_sec_instance_ticker,cik_mapping_unresolved,False,False,,,,,
2009-01,2009-01-31,APOL,Apollo Group,Consumer Discretionary,,missing_sec_instance_ticker,cik_mapping_unresolved,False,False,,,,,
2009-01,2009-01-31,AAPL,Apple Inc.,Information Technology,,missing_sec_instance_ticker,cik_mapping_unresolved,False,False,,,,,
2009-01,2009-01-31,ABI,Applera Corp-Applied Biosystems Group,Health Care,,missing_sec_instance_ticker,cik_mapping_unresolved,False,False,,,,,
2009-01,2009-01-31,AMAT,Applied Materials,Information Technology,,missing_sec_instance_ticker,cik_mapping_unresolved,False,False,,,,,
2009-01,2009-01-31,ADM,Archer-Daniels-Midland,Consumer Staples,,missing_sec_instance_ticker,cik_mapping_unresolved,False,False,,,,,
2009-01,2009-01-31,ASH,Ashland Inc.,Materials,,missing_sec_instance_ticker,cik_mapping_unresolved,False,False,,,,,
2009-01,2009-01-31,T,AT&T Inc.,Telecommunications Services,,missing_sec_instance_ticker,cik_mapping_unresolved,False,False,,,,,
2009-01,2009-01-31,ADSK,Autodesk Inc.,Information Technology,,missing_sec_instance_ticker,cik_mapping_unresolved,False,False,,,,,
2009-01,2009-01-31,ADP,Automatic Data Processing Inc.,Information Technology,,missing_sec_instance_ticker,cik_mapping_unresolved,False,False,,,,,
2009-01,2009-01-31,AN,AutoNation Inc.,Consumer Discretionary,,missing_sec_instance_ticker,cik_mapping_unresolved,False,False,,,,,
2009-01,2009-01-31,AZO,AutoZone Inc.,Consumer Discretionary,,missing_sec_instance_ticker,cik_mapping_unresolved,False,False,,,,,
2009-01,2009-01-31,AVY,Avery Dennison Corp.,Industrials,,missing_sec_instance_ticker,cik_mapping_unresolved,False,False,,,,,
2009-01,2009-01-31,AVP,Avon Products,Consumer Staples,,missing_sec_instance_ticker,cik_mapping_unresolved,False,False,,,,,
2009-01,2009-01-31,BHI,Baker Hughes,Energy,,missing_sec_instance_ticker,cik_mapping_unresolved,False,False,,,,,
2009-01,2009-01-31,BLL,Ball Corp.,Materials,,missing_sec_instance_ticker,cik_mapping_unresolved,False,False,,,,,
2009-01,2009-01-31,BCR,Bard (C.R.) Inc.,Health Care,,missing_sec_instance_ticker,cik_mapping_unresolved,False,False,,,,,
2009-01,2009-01-31,BAX,Baxter International Inc.,Health Care,,missing_sec_instance_ticker,cik_mapping_unresolved,False,False,,,,,
2009-01,2009-01-31,BDX,Becton Dickinson,Health Care,,missing_sec_instance_ticker,cik_mapping_unresolved,False,False,,,,,
2009-01,2009-01-31,BBBY,Bed Bath & Beyond,Consumer Discretionary,,missing_sec_instance_ticker,cik_mapping_unresolved,False,False,,,,,
2009-01,2009-01-31,BMS,Bemis Company,Materials,,missing_sec_instance_ticker,cik_mapping_unresolved,False,False,,,,,
2009-01,2009-01-31,BBY,Best Buy Co. Inc.,Consumer Discretionary,,missing_sec_instance_ticker,cik_mapping_unresolved,False,False,,,,,
2009-01,2009-01-31,BIG,Big Lots Inc.,Consumer Discretionary,,missing_sec_instance_ticker,cik_mapping_unresolved,False,False,,,,,
2009-01,2009-01-31,BIIB,BIOGEN IDEC Inc.,Health Care,,missing_sec_instance_ticker,cik_mapping_unresolved,False,False,,,,,
2009-01,2009-01-31,BJS,BJ Services,Energy,,missing_sec_instance_ticker,cik_mapping_unresolved,False,False,,,,,
