segment,year,legacy_episodes,passing_episodes,episode_pass_rate,expected_sessions,observed_sessions,session_coverage,year_passes
QUALITY_UNIVERSE,2015,172,64,0.37209302325581395,7056,2640,0.3741496598639456,False
QUALITY_UNIVERSE,2016,180,68,0.37777777777777777,39579,15726,0.3973319184415978,False
QUALITY_UNIVERSE,2017,161,65,0.40372670807453415,34515,14223,0.4120817036071273,False
QUALITY_UNIVERSE,2018,141,61,0.4326241134751773,30483,12990,0.4261391595315422,False
QUALITY_UNIVERSE,2019,125,53,0.424,27810,12371,0.44483998561668464,False
QUALITY_UNIVERSE,2020,109,53,0.48623853211009177,22753,10745,0.47224541818661275,False
QUALITY_UNIVERSE,2021,92,48,0.5217391304347826,19621,9890,0.504051781254778,False
QUALITY_UNIVERSE,2022,77,41,0.5324675324675324,16340,9511,0.5820685434516524,False
QUALITY_UNIVERSE,2023,56,36,0.6428571428571429,12639,8332,0.6592293694121371,False
QUALITY_UNIVERSE,2024,44,29,0.6590909090909091,9006,5856,0.6502331778814124,False
QUALITY_UNIVERSE,2025,29,19,0.6551724137931034,5200,3359,0.6459615384615385,False
QUALITY_UNIVERSE,2026,12,8,0.6666666666666666,769,564,0.7334200260078023,False
ALL_SP500,2015,210,79,0.3761904761904762,8568,3270,0.38165266106442575,False
ALL_SP500,2016,215,82,0.3813953488372093,47489,19254,0.405441260081282,False
ALL_SP500,2017,193,80,0.41450777202072536,41881,17590,0.41999952245648386,False
ALL_SP500,2018,176,77,0.4375,37556,16424,0.4373202683991905,False
ALL_SP500,2019,154,67,0.43506493506493504,33984,15184,0.4467984934086629,False
ALL_SP500,2020,129,61,0.4728682170542636,27727,12747,0.4597323908104014,False
ALL_SP500,2021,111,55,0.4954954954954955,23859,11355,0.4759210360870112,False
ALL_SP500,2022,93,46,0.4946236559139785,20104,10766,0.5355153203342619,False
ALL_SP500,2023,71,40,0.5633802816901409,15405,9249,0.6003894839337878,False
ALL_SP500,2024,54,32,0.5925925925925926,10682,6337,0.5932409661112151,False
ALL_SP500,2025,34,20,0.5882352941176471,6155,3524,0.5725426482534525,False
ALL_SP500,2026,13,8,0.6153846153846154,851,564,0.6627497062279671,False
