episode_id,symbol,cik,name,sector,included_in_quality_universe,first_observed_month,last_observed_month,episode_start,episode_end,months_observed,legacy,legacy_class,current_symbols_for_cik,current_ciks_for_symbol,yahoo_symbol,download_error,raw_history_available,first_price_date,last_price_date,warmup_sessions,indicator_warmup_ready,expected_sessions,observed_sessions,session_coverage,terminal_price_present,short_episode_probe,passes
AA|0000004281|1|2015-10|1,AA,0000004281,Alcoa Inc,Materials,True,2015-10,2016-10,2015-10-31,2016-10-31,13,True,TICKER_OR_SHARE_CLASS_CHANGED,['HWM'],[],AA,,True,2014-09-26,2016-12-09,277,True,252,252,1.0,True,False,True
AAL|0000006201|1|2015-10|1,AAL,0000006201,American Airlines Group,Industrials,True,2015-10,2024-08,2015-10-31,2024-08-31,107,True,NO_LONGER_CURRENT_CONSTITUENT_SECURITY,[],[],AAL,,True,2014-09-26,2024-10-10,277,True,2222,2222,1.0,True,False,True
AAP|0001158449|1|2015-10|1,AAP,0001158449,Advance Auto Parts,Consumer Discretionary,True,2015-10,2023-07,2015-10-31,2023-07-31,94,True,NO_LONGER_CURRENT_CONSTITUENT_SECURITY,[],[],AAP,,True,2014-09-26,2023-09-08,277,True,1948,1948,1.0,True,False,True
ABC|0001140859|1|2015-10|1,ABC,0001140859,AmerisourceBergen,Health Care,True,2015-10,2023-08,2015-10-31,2023-08-31,95,True,TICKER_OR_SHARE_CLASS_CHANGED,['COR'],[],ABC,EMPTY_DOWNLOAD,False,,,0,False,1971,0,0.0,False,False,False
ABMD|0000815094|1|2018-05|1,ABMD,0000815094,Abiomed,Health Care,True,2018-05,2022-11,2018-05-31,2022-11-30,55,True,NO_LONGER_CURRENT_CONSTITUENT_SECURITY,[],[],ABMD,EMPTY_DOWNLOAD,False,,,0,False,1135,0,0.0,False,False,False
ACE|0000896159|0|2015-10|1,ACE,0000896159,ACE Limited,Financials,False,2015-10,2015-12,2015-10-31,2015-12-31,3,True,TICKER_OR_SHARE_CLASS_CHANGED,['CB'],[],ACE,EMPTY_DOWNLOAD,False,,,0,False,42,0,0.0,False,False,False
ADS|0001101215|1|2015-10|1,ADS,0001101215,Alliance Data Systems,Information Technology,True,2015-10,2020-06,2015-10-31,2020-06-30,57,True,NO_LONGER_CURRENT_CONSTITUENT_SECURITY,[],[],ADS,EMPTY_DOWNLOAD,False,,,0,False,1173,0,0.0,False,False,False
ADT|0001546640|1|2015-10|1,ADT,0001546640,ADT Corp,Industrials,True,2015-10,2016-04,2015-10-31,2016-04-30,7,True,NO_LONGER_CURRENT_CONSTITUENT_SECURITY,[],[],ADT,EMPTY_DOWNLOAD,False,,,0,False,124,0,0.0,False,False,False
AET|0001122304|1|2015-10|1,AET,0001122304,Aetna Inc,Health Care,True,2015-10,2018-11,2015-10-31,2018-11-30,38,True,NO_LONGER_CURRENT_CONSTITUENT_SECURITY,[],[],AET,,True,2014-09-26,2018-11-29,277,True,777,776,0.9987129987129987,True,False,True
AGN|0000884629|1|2015-10|1,AGN,0000884629,"Allergan, Plc",Health Care,True,2015-10,2018-02,2015-10-31,2018-02-28,29,True,NO_LONGER_CURRENT_CONSTITUENT_SECURITY,[],[],AGN,EMPTY_DOWNLOAD,False,,,0,False,585,0,0.0,False,False,False
AGN|0001578845|1|2018-03|1,AGN,0001578845,"Allergan, plc",Health Care,True,2018-03,2020-04,2018-03-31,2020-04-30,26,True,NO_LONGER_CURRENT_CONSTITUENT_SECURITY,[],[],AGN,EMPTY_DOWNLOAD,False,,,0,False,525,0,0.0,False,False,False
