symbols,name,sector,cik,equity,financial_period_end,filed,accession,form,exclusion_reason
HPQ,HP Inc.,Information Technology,0000047217,-766000000.0,20260131,20260225,0000047217-26-000011,10-Q,NONPOSITIVE_EQUITY_AUTO_FAIL
LOW,Lowe's,Consumer Discretionary,0000060667,-9917000000.0,20260131,20260323,0000060667-26-000029,10-K,NONPOSITIVE_EQUITY_AUTO_FAIL
MCD,McDonald's,Consumer Discretionary,0000063908,-1791000000.0,20251231,20260224,0000063908-26-000035,10-K,NONPOSITIVE_EQUITY_AUTO_FAIL
CAH,Cardinal Health,Health Care,0000721371,-2700000000.0,20251231,20260205,0000721371-26-000006,10-Q,NONPOSITIVE_EQUITY_AUTO_FAIL
MO,Altria,Consumer Staples,0000764180,-3452000000.0,20251231,20260225,0000764180-26-000017,10-K,NONPOSITIVE_EQUITY_AUTO_FAIL
FICO,Fair Isaac,Information Technology,0000814547,-1808134000.0,20251231,20260128,0000814547-26-000011,10-Q,NONPOSITIVE_EQUITY_AUTO_FAIL
SBUX,Starbucks,Consumer Discretionary,0000829224,-8381300000.0,20251231,20260128,0000829224-26-000011,10-Q,NONPOSITIVE_EQUITY_AUTO_FAIL
HCA,HCA Healthcare,Health Care,0000860730,-2771000000.0,20251231,20260210,0001193125-26-044769,10-K,NONPOSITIVE_EQUITY_AUTO_FAIL
AZO,AutoZone,Consumer Discretionary,0000866787,-2908770000.0,20260131,20260320,0001104659-26-032757,10-Q,NONPOSITIVE_EQUITY_AUTO_FAIL
ORLY,O’Reilly Automotive,Consumer Discretionary,0000898173,-763352000.0,20251231,20260227,0000898173-26-000009,10-K,NONPOSITIVE_EQUITY_AUTO_FAIL
MCK,McKesson Corporation,Health Care,0000927653,-901000000.0,20251231,20260204,0000927653-26-000017,10-Q,NONPOSITIVE_EQUITY_AUTO_FAIL
VRSN,Verisign,Information Technology,0001014473,-2154200000.0,20251231,20260205,0001014473-26-000006,10-K,NONPOSITIVE_EQUITY_AUTO_FAIL
MTD,Mettler Toledo,Health Care,0001037646,-23636000.0,20251231,20260206,0001037646-26-000011,10-K,NONPOSITIVE_EQUITY_AUTO_FAIL
YUM,Yum! Brands,Consumer Discretionary,0001041061,-7325000000.0,20251231,20260220,0001041061-26-000084,10-K,NONPOSITIVE_EQUITY_AUTO_FAIL
BKNG,Booking Holdings,Consumer Discretionary,0001075531,-5578000000.0,20251231,20260218,0001075531-26-000009,10-K,NONPOSITIVE_EQUITY_AUTO_FAIL
WYNN,Wynn Resorts,Consumer Discretionary,0001174922,-1031279000.0,20251231,20260302,0001174922-26-000013,10-K,NONPOSITIVE_EQUITY_AUTO_FAIL
TDG,TransDigm Group,Industrials,0001260221,-9263000000.0,20251231,20260203,0001260221-26-000017,10-Q,NONPOSITIVE_EQUITY_AUTO_FAIL
DPZ,Domino's,Consumer Discretionary,0001286681,-3901142000.0,20251231,20260223,0001193125-26-062321,10-K,NONPOSITIVE_EQUITY_AUTO_FAIL
PM,Philip Morris International,Consumer Staples,0001413329,-8028000000.0,20251231,20260206,0001628280-26-005939,10-K,NONPOSITIVE_EQUITY_AUTO_FAIL
ABBV,AbbVie,Health Care,0001551152,-3228000000.0,20251231,20260220,0001551152-26-000008,10-K,NONPOSITIVE_EQUITY_AUTO_FAIL
DELL,Dell Technologies,Information Technology,0001571996,-2470000000.0,20260131,20260316,0001571996-26-000008,10-K,NONPOSITIVE_EQUITY_AUTO_FAIL
HLT,Hilton Worldwide,Consumer Discretionary,0001585689,-5359000000.0,20251231,20260211,0001585689-26-000007,10-K,NONPOSITIVE_EQUITY_AUTO_FAIL
