symbols,name,sector,financial_cik,current_cik,lineage_override,status,end,age_days,debt,equity,debt_to_equity,debt_formula
ABT,Abbott Laboratories,Health Care,0000001800,0000001800,False,incomplete_debt_definition,,,,,,
AMD,Advanced Micro Devices,Information Technology,0000002488,0000002488,False,incomplete_debt_definition,,,,,,
APD,Air Products,Materials,0000002969,0000002969,False,incomplete_debt_definition,,,,,,
SWKS,Skyworks Solutions,Information Technology,0000004127,0000004127,False,incomplete_debt_definition,,,,,,
HWM,Howmet Aerospace,Industrials,0000004281,0000004281,False,incomplete_debt_definition,,,,,,
ADI,Analog Devices,Information Technology,0000006281,0000006281,False,incomplete_debt_definition,,,,,,
AMAT,Applied Materials,Information Technology,0000006951,0000006951,False,incomplete_debt_definition,,,,,,
ADM,Archer Daniels Midland,Consumer Staples,0000007084,0000007084,False,incomplete_debt_definition,,,,,,
ADP,Automatic Data Processing,Industrials,0000008670,0000008670,False,incomplete_debt_definition,,,,,,
AVY,Avery Dennison,Materials,0000008818,0000008818,False,complete,2026-03-31,120,3790100000,2300500000,1.6475114105629212,DebtCurrent+LongTermDebtAndCapitalLeaseObligations
BALL,Ball Corporation,Materials,0000009389,0000009389,False,complete,2026-03-31,120,7807000000,5600000000,1.3941071428571428,DebtCurrent+LongTermDebtAndCapitalLeaseObligations
BAX,Baxter International,Health Care,0000010456,0000010456,False,incomplete_debt_definition,,,,,,
BDX,Becton Dickinson,Health Care,0000010795,0000010795,False,incomplete_debt_definition,,,,,,
BA,Boeing,Industrials,0000012927,0000012927,False,complete,2026-06-30,29,45900000000,6100000000,7.524590163934426,DebtCurrent+LongTermDebtAndCapitalLeaseObligations
BMY,Bristol Myers Squibb,Health Care,0000014272,0000014272,False,incomplete_debt_definition,,,,,,
BF.B,Brown–Forman,Consumer Staples,0000014693,0000014693,False,incomplete_debt_definition,,,,,,
STZ,Constellation Brands,Consumer Staples,0000016918,0000016918,False,complete,2026-02-28,151,10579700000,8082400000,1.3089800059388301,ShortTermBorrowings+LongTermDebtCurrent+LongTermDebtNoncurrent+FinanceLeaseLiability
CAT,Caterpillar Inc.,Industrials,0000018230,0000018230,False,incomplete_debt_definition,,,,,,
CLX,Clorox,Consumer Staples,0000021076,0000021076,False,nonpositive_equity,,,,,,
KO,Coca-Cola Company (The),Consumer Staples,0000021344,0000021344,False,incomplete_debt_definition,,,,,,
CL,Colgate-Palmolive,Consumer Staples,0000021665,0000021665,False,incomplete_debt_definition,,,,,,
TAP,Molson Coors Beverage Company,Consumer Staples,0000024545,0000024545,False,missing_or_stale_equity,,,,,,
GLW,Corning Inc.,Information Technology,0000024741,0000024741,False,complete,2026-03-31,120,8973000000,11812000000,0.7596512021672875,DebtCurrent+LongTermDebtAndCapitalLeaseObligations
CMI,Cummins,Industrials,0000026172,0000026172,False,complete,2026-03-31,120,6886000000,12351000000,0.5575257064205328,DebtAndCapitalLeaseObligations
TGT,Target Corporation,Consumer Staples,0000027419,0000027419,False,incomplete_debt_definition,,,,,,
DAL,Delta Air Lines,Industrials,0000027904,0000027904,False,incomplete_debt_definition,,,,,,
DG,Dollar General,Consumer Staples,0000029534,0000029534,False,incomplete_debt_definition,,,,,,
DOV,Dover Corporation,Industrials,0000029905,0000029905,False,incomplete_debt_definition,,,,,,
OMC,Omnicom Group,Communication Services,0000029989,0000029989,False,incomplete_debt_definition,,,,,,
ECL,Ecolab,Materials,0000031462,0000031462,False,complete,2026-03-31,120,8187100000,10003900000,0.8183908275772449,DebtAndCapitalLeaseObligations
RVTY,Revvity,Health Care,0000031791,0000031791,False,incomplete_debt_definition,,,,,,
EMR,Emerson Electric,Industrials,0000032604,0000032604,False,incomplete_debt_definition,,,,,,
EFX,Equifax,Industrials,0000033185,0000033185,False,incomplete_debt_definition,,,,,,
EQT,EQT Corporation,Energy,0000033213,0000033213,False,incomplete_debt_definition,,,,,,
XOM,ExxonMobil,Energy,0000034088,0002115436,True,complete,2026-03-31,120,47661000000,254381000000,0.18736069124659468,DebtCurrent+LongTermDebtAndCapitalLeaseObligations
F,Ford Motor Company,Consumer Discretionary,0000037996,0000037996,False,incomplete_debt_definition,,,,,,
GD,General Dynamics,Industrials,0000040533,0000040533,False,incomplete_debt_definition,,,,,,
GE,GE Aerospace,Industrials,0000040545,0000040545,False,complete,2026-06-30,29,19157000000,17640000000,1.085997732426304,DebtCurrent+LongTermDebtAndCapitalLeaseObligations
GIS,General Mills,Consumer Staples,0000040704,0000040704,False,complete,2026-05-31,59,13538000000,7368400000,1.8373052494435698,ShortTermBorrowings+LongTermDebtAndCapitalLeaseObligationsCurrent+LongTermDebtAndCapitalLeaseObligations
GPC,Genuine Parts Company,Consumer Discretionary,0000040987,0000040987,False,incomplete_debt_definition,,,,,,
HAL,Halliburton,Energy,0000045012,0000045012,False,incomplete_debt_definition,,,,,,
HAS,Hasbro,Consumer Discretionary,0000046080,0000046080,False,incomplete_debt_definition,,,,,,
